wind_turbines$start:INTEGER,wind_turbines$end:INTEGER,wind_turbines$metadata_id:ArrayType,wind_turbines$features_properties_mag:(Float)
1647423600000,1647424200000,650f0dac-6228-4ee8-906d-4173261d7095,6529134.000000
1647424200000,1647424800000,650f0dac-6228-4ee8-906d-4173261d7095,9920082.000000
1647424800000,1647425400000,650f0dac-6228-4ee8-906d-4173261d7095,9576828.000000
1647425400000,1647426000000,650f0dac-6228-4ee8-906d-4173261d7095,9366080.000000
1647426000000,1647426600000,650f0dac-6228-4ee8-906d-4173261d7095,9421586.000000
1647426600000,1647427200000,650f0dac-6228-4ee8-906d-4173261d7095,10136014.000000
1647427200000,1647427800000,650f0dac-6228-4ee8-906d-4173261d7095,12034096.000000
1647427800000,1647428400000,650f0dac-6228-4ee8-906d-4173261d7095,12276712.000000
1647428400000,1647429000000,650f0dac-6228-4ee8-906d-4173261d7095,10375432.000000
1647429000000,1647429600000,650f0dac-6228-4ee8-906d-4173261d7095,6091008.500000
1647429600000,1647430200000,650f0dac-6228-4ee8-906d-4173261d7095,8982289.000000
1647430200000,1647430800000,650f0dac-6228-4ee8-906d-4173261d7095,10733643.000000
1647430800000,1647431400000,650f0dac-6228-4ee8-906d-4173261d7095,8262346.000000
1647431400000,1647432000000,650f0dac-6228-4ee8-906d-4173261d7095,7765579.000000
1647432000000,1647432600000,650f0dac-6228-4ee8-906d-4173261d7095,10082901.000000
1647432600000,1647433200000,650f0dac-6228-4ee8-906d-4173261d7095,11313660.000000
1647433200000,1647433800000,650f0dac-6228-4ee8-906d-4173261d7095,12316208.000000
1647433800000,1647434400000,650f0dac-6228-4ee8-906d-4173261d7095,7643816.500000
1647434400000,1647435000000,650f0dac-6228-4ee8-906d-4173261d7095,10332660.000000
1647435000000,1647435600000,650f0dac-6228-4ee8-906d-4173261d7095,7303925.000000
1647435600000,1647436200000,650f0dac-6228-4ee8-906d-4173261d7095,11538759.000000
1647436200000,1647436800000,650f0dac-6228-4ee8-906d-4173261d7095,9825337.000000
1647436800000,1647437400000,650f0dac-6228-4ee8-906d-4173261d7095,11294737.000000
1647437400000,1647438000000,650f0dac-6228-4ee8-906d-4173261d7095,9637205.000000
1647438000000,1647438600000,650f0dac-6228-4ee8-906d-4173261d7095,12049881.000000
1647438600000,1647439200000,650f0dac-6228-4ee8-906d-4173261d7095,8998447.000000
1647439200000,1647439800000,650f0dac-6228-4ee8-906d-4173261d7095,9858766.000000
1647439800000,1647440400000,650f0dac-6228-4ee8-906d-4173261d7095,11725598.000000
1647440400000,1647441000000,650f0dac-6228-4ee8-906d-4173261d7095,10288780.000000
1647441000000,1647441600000,650f0dac-6228-4ee8-906d-4173261d7095,5149011.000000
1647441600000,1647442200000,650f0dac-6228-4ee8-906d-4173261d7095,8973831.000000
1647442200000,1647442800000,650f0dac-6228-4ee8-906d-4173261d7095,7286318.500000
1647442800000,1647443400000,650f0dac-6228-4ee8-906d-4173261d7095,10171805.000000
1647443400000,1647444000000,650f0dac-6228-4ee8-906d-4173261d7095,10069606.000000
1647444000000,1647444600000,650f0dac-6228-4ee8-906d-4173261d7095,9740869.000000
1647444600000,1647445200000,650f0dac-6228-4ee8-906d-4173261d7095,3425400.750000
1647445200000,1647445800000,650f0dac-6228-4ee8-906d-4173261d7095,11396434.000000
1647445800000,1647446400000,650f0dac-6228-4ee8-906d-4173261d7095,8888445.000000
1647446400000,1647447000000,650f0dac-6228-4ee8-906d-4173261d7095,12733413.000000
1647447000000,1647447600000,650f0dac-6228-4ee8-906d-4173261d7095,9063919.000000
1647447600000,1647448200000,650f0dac-6228-4ee8-906d-4173261d7095,9536885.000000
1647448200000,1647448800000,650f0dac-6228-4ee8-906d-4173261d7095,8488151.000000
1647448800000,1647449400000,650f0dac-6228-4ee8-906d-4173261d7095,12464153.000000
1647449400000,1647450000000,650f0dac-6228-4ee8-906d-4173261d7095,12521326.000000
1647450000000,1647450600000,650f0dac-6228-4ee8-906d-4173261d7095,8713912.000000
1647450600000,1647451200000,650f0dac-6228-4ee8-906d-4173261d7095,11334618.000000
1647451200000,1647451800000,650f0dac-6228-4ee8-906d-4173261d7095,10821945.000000
1647451800000,1647452400000,650f0dac-6228-4ee8-906d-4173261d7095,10110461.000000
1647452400000,1647453000000,650f0dac-6228-4ee8-906d-4173261d7095,11846969.000000
1647453000000,1647453600000,650f0dac-6228-4ee8-906d-4173261d7095,7745283.500000
1647453600000,1647454200000,650f0dac-6228-4ee8-906d-4173261d7095,12954277.000000
1647454200000,1647454800000,650f0dac-6228-4ee8-906d-4173261d7095,5523418.500000
1647454800000,1647455400000,650f0dac-6228-4ee8-906d-4173261d7095,7669562.500000
1647455400000,1647456000000,650f0dac-6228-4ee8-906d-4173261d7095,11143815.000000
1647456000000,1647456600000,650f0dac-6228-4ee8-906d-4173261d7095,6888809.500000
1647456600000,1647457200000,650f0dac-6228-4ee8-906d-4173261d7095,13243247.000000
1647457200000,1647457800000,650f0dac-6228-4ee8-906d-4173261d7095,9462989.000000
1647457800000,1647458400000,650f0dac-6228-4ee8-906d-4173261d7095,10595768.000000
1647458400000,1647459000000,650f0dac-6228-4ee8-906d-4173261d7095,8935500.000000
1647459000000,1647459600000,650f0dac-6228-4ee8-906d-4173261d7095,10291690.000000
1647459600000,1647460200000,650f0dac-6228-4ee8-906d-4173261d7095,7281999.000000
1647460200000,1647460800000,650f0dac-6228-4ee8-906d-4173261d7095,10313970.000000
1647460800000,1647461400000,650f0dac-6228-4ee8-906d-4173261d7095,12622936.000000
1647461400000,1647462000000,650f0dac-6228-4ee8-906d-4173261d7095,10601232.000000
1647462000000,1647462600000,650f0dac-6228-4ee8-906d-4173261d7095,13326865.000000
1647462600000,1647463200000,650f0dac-6228-4ee8-906d-4173261d7095,9985706.000000
1647463200000,1647463800000,650f0dac-6228-4ee8-906d-4173261d7095,9068873.000000
1647463800000,1647464400000,650f0dac-6228-4ee8-906d-4173261d7095,12117853.000000
1647464400000,1647465000000,650f0dac-6228-4ee8-906d-4173261d7095,9084865.000000
1647465000000,1647465600000,650f0dac-6228-4ee8-906d-4173261d7095,11796176.000000
1647465600000,1647466200000,650f0dac-6228-4ee8-906d-4173261d7095,8529871.000000
1647466200000,1647466800000,650f0dac-6228-4ee8-906d-4173261d7095,11365288.000000
1647466800000,1647467400000,650f0dac-6228-4ee8-906d-4173261d7095,6603676.500000
1647467400000,1647468000000,650f0dac-6228-4ee8-906d-4173261d7095,12257091.000000
1647468000000,1647468600000,650f0dac-6228-4ee8-906d-4173261d7095,12295258.000000
1647468600000,1647469200000,650f0dac-6228-4ee8-906d-4173261d7095,11382690.000000
1647469200000,1647469800000,650f0dac-6228-4ee8-906d-4173261d7095,7988709.500000
1647469800000,1647470400000,650f0dac-6228-4ee8-906d-4173261d7095,7475847.000000
1647470400000,1647471000000,650f0dac-6228-4ee8-906d-4173261d7095,11856310.000000
